date;unem;real_gdp_growth;;
30/9/10;8,62;10,99;;
31/12/10;9,21;9,15;;
31/3/11;9,81;6,70;;
30/6/11;9,96;8,21;;
30/9/11;10,93;9,06;;
31/12/11;10,49;12,57;;
31/3/12;10,56;12,03;;
30/6/12;10,28;10,08;;
30/9/12;10,00;9,15;;
31/12/12;9,85;8,33;;
31/3/13;9,74;8,63;;
30/6/13;10,54;7,73;;
30/9/13;8,95;7,35;;
31/12/13;8,31;5,28;;
31/3/14;9,78;9,13;;
30/6/14;9,08;9,94;;
30/9/14;9,96;10,43;;
31/12/14;9,66;10,37;;
31/3/15;10,15;9,10;;
30/6/15;9,45;9,19;;
30/9/15;9,25;7,42;;
31/12/15;9,60;5,48;;
31/3/16;9,50;3,72;;
30/6/16;9,39;3,92;;
30/9/16;9,72;5,88;;
31/12/16;9,54;11,22;;
31/3/17;9,13;9,50;;
30/6/17;8,50;9,09;;
30/9/17;9,37;6,55;;
31/12/17;9,29;3,80;;
31/3/18;10,26;8,12;;
30/6/18;8,67;6,23;;
30/9/18;10,18;4,30;;
31/12/18;11,95;1,96;;
31/3/19;11,29;2,19;;
30/6/19;11,92;3,80;;
30/9/19;11,39;7,20;;
31/12/19;12,42;8,27;;
31/3/20;12,45;4,33;;
30/6/20;24,01;-9,51;;
30/9/20;21,98;-6,63;;
31/12/20;19,98;-2,14;;
31/3/21;18,69;-0,67;;
30/6/21;18,06;14,26;;
30/9/21;15,30;17,02;;
31/12/21;13,68;14,12;;
31/3/22;13,58;14,43;;
30/6/22;11,68;14,24;;
30/9/22;11,95;12,08;;
31/12/22;11,67;10,95;;
31/3/23;10,60;6,66;;
30/6/23;9,58;4,03;;
30/9/23;8,08;2,58;;
31/12/23;7,30;1,45;;
31/3/24;7,82;2,70;;
30/6/24;8,53;6,00;;
30/9/24;6,59;4,27;;
31/12/24;6,88;5,61;;
31/3/25;7,47;4,64;;
30/6/25;7,42;2,83;;
30/9/25;5,74;4,69;;
31/12/25;6,33;3,84;;
